date,price,,,,,
2/28/17,100,,,,,
3/1/17,105.04,,,,,
3/2/17,120.77,,,,,
3/3/17,122.89,,,,,
3/6/17,123.24,,,,,
3/7/17,119.77,,,,,
3/8/17,109.46,,,,,
3/9/17,115.54,,,,,
3/10/17,120.72,,,,,
3/13/17,173.72,,,,,
3/14/17,174.71,,,,,
3/15/17,200.44,,,,,
3/16/17,229.33,,,,,
3/17/17,253.35,,,,,
3/20/17,243.42,,,,,
3/21/17,240.54,,,,,
3/22/17,234.42,,,,,
3/23/17,237.93,,,,,
3/24/17,269.77,,,,,
3/27/17,268.97,,,,,
3/28/17,271.93,,,,,
3/29/17,284.09,,,,,
3/30/17,289.54,,,,,
3/31/17,278.9,,,,,
4/3/17,272.13,,,,,
4/4/17,276.25,,,,,
4/5/17,285.84,,,,,
4/6/17,266.94,,,,,
4/7/17,264.72,,,,,
4/10/17,271.17,,,,,
4/11/17,270.03,,,,,
4/12/17,289.47,,,,,
4/13/17,305.13,,,,,
4/14/17,297.69,,,,,
4/17/17,298.83,,,,,
4/18/17,303.4,,,,,
4/19/17,303.6,,,,,
4/20/17,302.07,,,,,
4/21/17,306.13,,,,,
4/24/17,321.67,,,,,
4/25/17,323.35,,,,,
4/26/17,345.22,,,,,
4/27/17,373.55,,,,,
4/28/17,411.38,,,,,
5/1/17,472.81,,,,,
5/2/17,480.42,,,,,
5/3/17,499.56,,,,,
5/4/17,571.47,,,,,
5/5/17,575.38,,,,,
5/8/17,646.01,,,,,
5/9/17,628.43,,,,,
5/10/17,650.73,,,,,
5/11/17,648.21,,,,,
5/12/17,618.33,,,,,
5/15/17,683.65,,,,,
5/16/17,725.16,,,,,
5/17/17,779.47,,,,,
5/18/17,785.8,,,,,
5/19/17,877.25,,,,,
5/22/17,1086.34,,,,,
5/23/17,1111.75,,,,,
5/24/17,1233.25,,,,,
5/25/17,1175.16,,,,,
5/26/17,1094.78,,,,,
5/29/17,1162.56,,,,,
5/30/17,1224.37,,,,,
5/31/17,1311.8,,,,,
6/1/17,1331.65,,,,,
6/2/17,1315.54,,,,,
6/5/17,1464.21,,,,,
6/6/17,1500.38,,,,,
6/7/17,1524.03,,,,,
6/8/17,1487.25,,,,,
6/9/17,1575.77,,,,,
6/12/17,1847.43,,,,,
6/13/17,2076.39,,,,,
6/14/17,1937.32,,,,,
6/15/17,1717.04,,,,,
6/16/17,1908.72,,,,,
6/19/17,2152.89,,,,,
6/20/17,2238.42,,,,,
6/21/17,2067.47,,,,,
6/22/17,2105.19,,,,,
6/23/17,2180.98,,,,,
6/26/17,1615.87,,,,,
6/27/17,1806.84,,,,,
6/28/17,1976.98,,,,,
6/29/17,1906.59,,,,,
6/30/17,1869.3,,,,,
7/3/17,1891.24,,,,,
7/4/17,1947.52,,,,,
7/5/17,1977.6,,,,,
7/6/17,1947.53,,,,,
7/7/17,1788.55,,,,,
7/10/17,1582.26,,,,,
7/11/17,1358.33,,,,,
7/12/17,1602.89,,,,,
7/13/17,1497.41,,,,,
7/14/17,1420.75,,,,,
7/17/17,1367.31,,,,,
7/18/17,1522.33,,,,,
7/19/17,1361.13,,,,,
7/20/17,1566.47,,,,,
7/21/17,1572.76,,,,,
7/24/17,1710.46,,,,,
7/25/17,1480.22,,,,,
7/26/17,1506.32,,,,,
7/27/17,1535.79,,,,,
7/28/17,1474.16,,,,,
7/31/17,1488.23,,,,,
8/1/17,1596.97,,,,,
8/2/17,1611.88,,,,,
8/3/17,1647.77,,,,,
8/4/17,1648.96,,,,,
8/7/17,1780.95,,,,,
8/8/17,1854.49,,,,,
8/9/17,1839.02,,,,,
8/10/17,1860.53,,,,,
8/11/17,1813.33,,,,,
8/14/17,1653.26,,,,,
8/15/17,1611.31,,,,,
8/16/17,1686.32,,,,,
8/17/17,1665.01,,,,,
8/18/17,1648.45,,,,,
8/21/17,1787.02,,,,,
8/22/17,1952.1,,,,,
8/23/17,2005.07,,,,,
8/24/17,2042.45,,,,,
8/25/17,2020.89,,,,,
8/28/17,2243.7,,,,,
8/29/17,2255.36,,,,,
8/30/17,2286.51,,,,,
8/31/17,2482.36,,,,,
9/1/17,2744.46,,,,,
9/4/17,2261.69,,,,,
9/5/17,2296.28,,,,,
9/6/17,2450.9,,,,,
9/7/17,2433.49,,,,,
9/8/17,2175.64,,,,,
9/11/17,2151.41,,,,,
9/12/17,2135.34,,,,,
9/13/17,1949.47,,,,,
9/14/17,1639.6,,,,,
9/15/17,1785.43,,,,,
9/18/17,1909.85,,,,,
9/19/17,1849.25,,,,,
9/20/17,1858.15,,,,,
9/21/17,1681.45,,,,,
9/22/17,1682.01,,,,,
9/25/17,1832.33,,,,,
9/26/17,1849.2,,,,,
9/27/17,1999.84,,,,,
9/28/17,1934.79,,,,,
9/29/17,1891.95,,,,,
10/2/17,1872.78,,,,,
10/3/17,1797.08,,,,,
10/4/17,1810.87,,,,,
10/5/17,1862.99,,,,,
10/6/17,1868.89,,,,,
10/9/17,1768.78,,,,,
10/10/17,1857.28,,,,,
10/11/17,1897.59,,,,,
10/12/17,1881.47,,,,,
10/13/17,1899.36,,,,,
10/16/17,2002.66,,,,,
10/17/17,1941.89,,,,,
10/18/17,1827.18,,,,,
10/19/17,1845.55,,,,,
10/20/17,1841.18,,,,,
10/23/17,1705.23,,,,,
10/24/17,1845.64,,,,,
10/25/17,1780.09,,,,,
10/26/17,1766.95,,,,,
10/27/17,1755.31,,,,,
10/30/17,1772.02,,,,,
10/31/17,1752.83,,,,,
11/1/17,1708.66,,,,,
11/2/17,1669.69,,,,,
11/3/17,1742.55,,,,,
11/6/17,1769.07,,,,,
11/7/17,1810.97,,,,,
11/8/17,1954.42,,,,,
11/9/17,2050.39,,,,,
11/10/17,1839.67,,,,,
11/13/17,2004.56,,,,,
11/14/17,2095.86,,,,,
11/15/17,2123.08,,,,,
11/16/17,2224.65,,,,,
11/17/17,2202.99,,,,,
11/20/17,2402.49,,,,,
11/21/17,2402.41,,,,,
11/22/17,2469.8,,,,,
11/23/17,2559.09,,,,,
11/24/17,2530.27,,,,,
11/27/17,2888.07,,,,,
11/28/17,3092.93,,,,,
11/29/17,2761.67,,,,,
11/30/17,2882.54,,,,,
12/1/17,3254.7,,,,,
12/4/17,3447.55,,,,,
12/5/17,3507.95,,,,,
12/6/17,3391.78,,,,,
12/7/17,3235.77,,,,,
12/8/17,3747.26,,,,,
12/11/17,4351.27,,,,,
12/12/17,5576.86,,,,,
12/13/17,5844.48,,,,,
12/14/17,6636.11,,,,,
12/15/17,6823.4,,,,,
12/18/17,8292.94,,,,,
12/19/17,9132.13,,,,,
12/20/17,8763.89,,,,,
12/21/17,9025.16,,,,,
12/22/17,8103.03,,,,,
12/25/17,8366.36,,,,,
12/26/17,8479.94,,,,,
12/27/17,8661.66,,,,,
12/28/17,8409.98,,,,,
12/29/17,9739.74,,,,,
1/1/18,10001.62,,,,,
1/2/18,11111.06,,,,,
1/3/18,12890,,,,,
1/4/18,12915.13,,,,,
1/5/18,12816.76,,,,,
1/8/18,12902.55,,,,,
1/9/18,12490.01,,,,,
1/10/18,11772.33,,,,,
1/11/18,11356.59,,,,,
1/12/18,11938.54,,,,,
1/15/18,11748.54,,,,,
1/16/18,8397.07,,,,,
1/17/18,8429.33,,,,,
1/18/18,10135.78,,,,,
1/19/18,9527.02,,,,,
1/22/18,8351.49,,,,,
1/23/18,9078,,,,,
1/24/18,9102.18,,,,,
1/25/18,9248.44,,,,,
1/26/18,8862.36,,,,,
1/29/18,9202.66,,,,,
1/30/18,8051.97,,,,,
1/31/18,8144.57,,,,,
2/1/18,7203.87,,,,,
2/2/18,6448.61,,,,,
2/5/18,5198.58,,,,,
2/6/18,5631.39,,,,,
2/7/18,6055.71,,,,,
2/8/18,6046.57,,,,,
2/9/18,6627.21,,,,,
2/12/18,6884.79,,,,,
2/13/18,6806.81,,,,,
2/14/18,7508.43,,,,,
2/15/18,7727.51,,,,,
2/16/18,7779.19,,,,,
2/19/18,7939.88,,,,,
2/20/18,7773.6,,,,,
2/21/18,6836.05,,,,,
2/22/18,6521.96,,,,,
2/23/18,6656.04,,,,,
2/26/18,6898.61,,,,,
2/27/18,7052.33,,,,,
2/28/18,6825.17,,,,,
3/1/18,6896.36,,,,,
3/2/18,6658.37,,,,,
3/5/18,6659.1,,,,,
3/6/18,6135.91,,,,,
3/7/18,5583.35,,,,,
3/8/18,5454.16,,,,,
3/9/18,5337.99,,,,,
3/12/18,5173.37,,,,,
3/13/18,5226.23,,,,,
3/14/18,4718.46,,,,,
3/15/18,4533.18,,,,,
3/16/18,4703.95,,,,,
3/19/18,4510.9,,,,,
3/20/18,5138.04,,,,,
3/21/18,5018.29,,,,,
3/22/18,4872.85,,,,,
3/23/18,4865.14,,,,,
3/26/18,4429.43,,,,,
3/27/18,4505.38,,,,,
3/28/18,4508.35,,,,,
3/29/18,4187.35,,,,,
3/30/18,3952.6,,,,,
4/2/18,3969.13,,,,,
4/3/18,4273.45,,,,,
4/4/18,3875.05,,,,,
4/5/18,3935.75,,,,,
4/6/18,3822.69,,,,,
4/9/18,3837.67,,,,,
4/10/18,4001.23,,,,,
4/11/18,4249.36,,,,,
4/12/18,4774.55,,,,,
